Scenario: Complex_LOS-23-12-2022, Model: lstm, Number_CIR: 10, Length_CIR: 50, Accuracies: {'Empty': 1.0, 'Sitting Down': 0.9230769230769231, 'Sitting Still': 0.9090909090909091, 'Standing Still': 1.0, 'Standing Up': 0.9523809523809523, 'Walking': 1.0, 'Waving arms': 0.8378378378378378}, Overall Accuracy: 94.62810158729553%
Scenario: Complex_LOS-23-12-2022, Model: lstm, Number_CIR: 10, Length_CIR: 75, Accuracies: {'Empty': 0.975609756097561, 'Sitting Down': 0.9629629629629629, 'Sitting Still': 0.9411764705882353, 'Standing Still': 1.0, 'Standing Up': 1.0, 'Walking': 1.0, 'Waving arms': 0.9411764705882353}, Overall Accuracy: 97.52066135406494%
Scenario: Complex_LOS-23-12-2022, Model: lstm, Number_CIR: 10, Length_CIR: 100, Accuracies: {'Empty': 1.0, 'Sitting Down': 0.9655172413793104, 'Sitting Still': 1.0, 'Standing Still': 1.0, 'Standing Up': 1.0, 'Walking': 1.0, 'Waving arms': 1.0}, Overall Accuracy: 99.58677887916565%
Scenario: Complex_LOS-23-12-2022, Model: lstm, Number_CIR: 10, Length_CIR: 125, Accuracies: {'Empty': 1.0, 'Sitting Down': 1.0, 'Sitting Still': 0.9705882352941176, 'Standing Still': 1.0, 'Standing Up': 0.9534883720930233, 'Walking': 1.0, 'Waving arms': 0.9696969696969697}, Overall Accuracy: 98.34710955619812%
Scenario: Complex_LOS-23-12-2022, Model: lstm, Number_CIR: 10, Length_CIR: 150, Accuracies: {'Empty': 1.0, 'Sitting Down': 1.0, 'Sitting Still': 1.0, 'Standing Still': 1.0, 'Standing Up': 0.9318181818181818, 'Walking': 1.0, 'Waving arms': 0.9411764705882353}, Overall Accuracy: 97.93388247489929%
Scenario: Complex_LOS-23-12-2022, Model: lstm, Number_CIR: 10, Length_CIR: 175, Accuracies: {'Empty': 1.0, 'Sitting Down': 0.967741935483871, 'Sitting Still': 0.9310344827586207, 'Standing Still': 1.0, 'Standing Up': 0.9473684210526315, 'Walking': 1.0, 'Waving arms': 1.0}, Overall Accuracy: 97.92531132698059%
Scenario: Complex_LOS-23-12-2022, Model: lstm, Number_CIR: 10, Length_CIR: 200, Accuracies: {'Empty': 1.0, 'Sitting Down': 0.967741935483871, 'Sitting Still': 0.875, 'Standing Still': 1.0, 'Standing Up': 0.95, 'Walking': 0.96875, 'Waving arms': 1.0}, Overall Accuracy: 96.68049812316895%
Scenario: Complex_LOS-23-12-2022, Model: lstm, Number_CIR: 10, Length_CIR: 225, Accuracies: {'Empty': 1.0, 'Sitting Down': 0.9393939393939394, 'Sitting Still': 0.9629629629629629, 'Standing Still': 0.967741935483871, 'Standing Up': 0.972972972972973, 'Walking': 1.0, 'Waving arms': 0.8888888888888888}, Overall Accuracy: 96.23430967330933%
Scenario: Complex_LOS-23-12-2022, Model: lstm, Number_CIR: 12, Length_CIR: 50, Accuracies: {'Empty': 0.9523809523809523, 'Sitting Down': 0.9230769230769231, 'Sitting Still': 0.8571428571428571, 'Standing Still': 0.9354838709677419, 'Standing Up': 1.0, 'Walking': 1.0, 'Waving arms': 0.8787878787878788}, Overall Accuracy: 93.80165338516235%
Scenario: Complex_LOS-23-12-2022, Model: lstm, Number_CIR: 12, Length_CIR: 75, Accuracies: {'Empty': 1.0, 'Sitting Down': 0.9285714285714286, 'Sitting Still': 0.9411764705882353, 'Standing Still': 0.9666666666666667, 'Standing Up': 1.0, 'Walking': 1.0, 'Waving arms': 0.9696969696969697}, Overall Accuracy: 97.52066135406494%
Scenario: Complex_LOS-23-12-2022, Model: lstm, Number_CIR: 12, Length_CIR: 100, Accuracies: {'Empty': 1.0, 'Sitting Down': 0.9642857142857143, 'Sitting Still': 0.9705882352941176, 'Standing Still': 1.0, 'Standing Up': 1.0, 'Walking': 1.0, 'Waving arms': 0.9696969696969697}, Overall Accuracy: 98.76033067703247%
Scenario: Complex_LOS-23-12-2022, Model: lstm, Number_CIR: 12, Length_CIR: 125, Accuracies: {'Empty': 0.975609756097561, 'Sitting Down': 0.9655172413793104, 'Sitting Still': 1.0, 'Standing Still': 1.0, 'Standing Up': 1.0, 'Walking': 1.0, 'Waving arms': 0.9411764705882353}, Overall Accuracy: 98.34710955619812%
Scenario: Complex_LOS-23-12-2022, Model: lstm, Number_CIR: 12, Length_CIR: 150, Accuracies: {'Empty': 1.0, 'Sitting Down': 0.9655172413793104, 'Sitting Still': 1.0, 'Standing Still': 1.0, 'Standing Up': 0.9761904761904762, 'Walking': 1.0, 'Waving arms': 0.9696969696969697}, Overall Accuracy: 98.76033067703247%
Scenario: Complex_LOS-23-12-2022, Model: lstm, Number_CIR: 12, Length_CIR: 175, Accuracies: {'Empty': 1.0, 'Sitting Down': 0.9354838709677419, 'Sitting Still': 0.9642857142857143, 'Standing Still': 1.0, 'Standing Up': 0.9473684210526315, 'Walking': 1.0, 'Waving arms': 1.0}, Overall Accuracy: 97.92531132698059%
Scenario: Complex_LOS-23-12-2022, Model: lstm, Number_CIR: 12, Length_CIR: 200, Accuracies: {'Empty': 1.0, 'Sitting Down': 0.9090909090909091, 'Sitting Still': 0.9655172413793104, 'Standing Still': 1.0, 'Standing Up': 1.0, 'Walking': 1.0, 'Waving arms': 1.0}, Overall Accuracy: 98.34024906158447%
Scenario: Complex_LOS-23-12-2022, Model: lstm, Number_CIR: 12, Length_CIR: 225, Accuracies: {'Empty': 0.975609756097561, 'Sitting Down': 0.9354838709677419, 'Sitting Still': 0.9285714285714286, 'Standing Still': 1.0, 'Standing Up': 1.0, 'Walking': 1.0, 'Waving arms': 0.8918918918918919}, Overall Accuracy: 96.23430967330933%
Scenario: Complex_LOS-23-12-2022, Model: lstm_fcn, Number_CIR: 8, Length_CIR: 50, Accuracies: {'Empty': 1.0, 'Sitting Down': 0.96, 'Sitting Still': 0.9411764705882353, 'Standing Still': 0.9655172413793104, 'Standing Up': 0.9534883720930233, 'Walking': 1.0, 'Waving arms': 0.8611111111111112}, Overall Accuracy: 95.45454382896423%
Scenario: Complex_LOS-23-12-2022, Model: lstm_fcn, Number_CIR: 8, Length_CIR: 75, Accuracies: {'Empty': 1.0, 'Sitting Down': 1.0, 'Sitting Still': 0.96875, 'Standing Still': 1.0, 'Standing Up': 0.9545454545454546, 'Walking': 1.0, 'Waving arms': 0.9142857142857143}, Overall Accuracy: 97.52066135406494%
Scenario: Complex_LOS-23-12-2022, Model: lstm_fcn, Number_CIR: 8, Length_CIR: 100, Accuracies: {'Empty': 1.0, 'Sitting Down': 0.9655172413793104, 'Sitting Still': 0.9705882352941176, 'Standing Still': 1.0, 'Standing Up': 0.9761904761904762, 'Walking': 1.0, 'Waving arms': 1.0}, Overall Accuracy: 98.76033067703247%
Scenario: Complex_LOS-23-12-2022, Model: lstm_fcn, Number_CIR: 8, Length_CIR: 125, Accuracies: {'Empty': 1.0, 'Sitting Down': 1.0, 'Sitting Still': 0.9696969696969697, 'Standing Still': 1.0, 'Standing Up': 0.9534883720930233, 'Walking': 1.0, 'Waving arms': 0.9411764705882353}, Overall Accuracy: 97.93388247489929%
Scenario: Complex_LOS-23-12-2022, Model: lstm_fcn, Number_CIR: 8, Length_CIR: 150, Accuracies: {'Empty': 1.0, 'Sitting Down': 0.9655172413793104, 'Sitting Still': 0.9696969696969697, 'Standing Still': 1.0, 'Standing Up': 0.975609756097561, 'Walking': 1.0, 'Waving arms': 0.9411764705882353}, Overall Accuracy: 97.93388247489929%
Scenario: Complex_LOS-23-12-2022, Model: lstm_fcn, Number_CIR: 8, Length_CIR: 175, Accuracies: {'Empty': 1.0, 'Sitting Down': 1.0, 'Sitting Still': 0.9310344827586207, 'Standing Still': 0.9705882352941176, 'Standing Up': 0.9459459459459459, 'Walking': 0.972972972972973, 'Waving arms': 0.9444444444444444}, Overall Accuracy: 96.68049812316895%
Scenario: Complex_LOS-23-12-2022, Model: lstm_fcn, Number_CIR: 8, Length_CIR: 200, Accuracies: {'Empty': 1.0, 'Sitting Down': 0.9655172413793104, 'Sitting Still': 0.9310344827586207, 'Standing Still': 1.0, 'Standing Up': 0.975, 'Walking': 0.9411764705882353, 'Waving arms': 0.9444444444444444}, Overall Accuracy: 96.68049812316895%
Scenario: Complex_LOS-23-12-2022, Model: lstm_fcn, Number_CIR: 8, Length_CIR: 225, Accuracies: {'Empty': 1.0, 'Sitting Down': 1.0, 'Sitting Still': 0.9285714285714286, 'Standing Still': 1.0, 'Standing Up': 1.0, 'Walking': 0.9736842105263158, 'Waving arms': 0.8918918918918919}, Overall Accuracy: 97.07112908363342%
Scenario: Complex_LOS-23-12-2022, Model: lstm_fcn, Number_CIR: 10, Length_CIR: 50, Accuracies: {'Empty': 1.0, 'Sitting Down': 0.9259259259259259, 'Sitting Still': 0.9428571428571428, 'Standing Still': 0.9655172413793104, 'Standing Up': 1.0, 'Walking': 1.0, 'Waving arms': 0.8857142857142857}, Overall Accuracy: 96.28099203109741%
Scenario: Complex_LOS-23-12-2022, Model: lstm_fcn, Number_CIR: 10, Length_CIR: 75, Accuracies: {'Empty': 1.0, 'Sitting Down': 0.9259259259259259, 'Sitting Still': 0.9090909090909091, 'Standing Still': 1.0, 'Standing Up': 1.0, 'Walking': 1.0, 'Waving arms': 0.9142857142857143}, Overall Accuracy: 96.69421315193176%
Scenario: Complex_LOS-23-12-2022, Model: lstm_fcn, Number_CIR: 10, Length_CIR: 100, Accuracies: {'Empty': 1.0, 'Sitting Down': 0.9642857142857143, 'Sitting Still': 0.9705882352941176, 'Standing Still': 1.0, 'Standing Up': 1.0, 'Walking': 1.0, 'Waving arms': 0.9696969696969697}, Overall Accuracy: 98.76033067703247%
Scenario: Complex_LOS-23-12-2022, Model: lstm_fcn, Number_CIR: 10, Length_CIR: 125, Accuracies: {'Empty': 1.0, 'Sitting Down': 0.9655172413793104, 'Sitting Still': 1.0, 'Standing Still': 1.0, 'Standing Up': 1.0, 'Walking': 1.0, 'Waving arms': 0.9696969696969697}, Overall Accuracy: 99.17355179786682%
Scenario: Complex_LOS-23-12-2022, Model: lstm_fcn, Number_CIR: 10, Length_CIR: 150, Accuracies: {'Empty': 1.0, 'Sitting Down': 1.0, 'Sitting Still': 1.0, 'Standing Still': 1.0, 'Standing Up': 0.9761904761904762, 'Walking': 1.0, 'Waving arms': 0.9696969696969697}, Overall Accuracy: 99.17355179786682%
Scenario: Complex_LOS-23-12-2022, Model: lstm_fcn, Number_CIR: 10, Length_CIR: 175, Accuracies: {'Empty': 1.0, 'Sitting Down': 0.9375, 'Sitting Still': 0.9655172413793104, 'Standing Still': 1.0, 'Standing Up': 1.0, 'Walking': 1.0, 'Waving arms': 1.0}, Overall Accuracy: 98.75518679618835%
